ID,last,first,co,act,cosize,middle,city,state,latitude,longitude
142,French,W,Barnhardt Brothers & Spindler,3,,H,Chicago,IL,41.883229,-87.632398
143,Penfield,R,American Clay Machinery Co.,2,,C,New York,NY,40.713054,-74.007228
144,Chambers,J,Chambers Brothers Co,2,160,H,Philadelphia,PA,39.951061,-75.16562
146,Barbour,George,Michigan Stove Company,6,1500,H,Detroit,MI,42.332916,-83.047853
152,Briggs,O,,9,,P,Minneapolis,MN,44.977479,-93.264346
154,Pease,Albion,,5,,P,Boston,MA,42.358894,-71.056742
155,Couzens,J,Ford Motor Company,2,,,Detroit,MI,42.332916,-83.047853
157,Robbins,Thomas,Cleveland Hardware Company,2,800,P,Cleveland,OH,41.505546,-81.6915
158,Hemenway,H,,2,,H,Colorado Springs,CO,38.835224,-104.819798
161,Penfield,L,American Clay Machinery Co.,2,,W,Willoughby,OH,41.639717,-81.406723
163,Fries,Rudolph,,2,,,New York,NY,40.713054,-74.007228
164,Potter,Alfred,,2,,K,Providence,RI,41.824461,-71.412747
165,Crowley,D(aniel),Crowley Electric Co.,3,20,D,Duluth,MN,46.782882,-92.105457
166,Mays,H,,2,,M,Providence,RI,41.824461,-71.412747
168,Oakes,W,Parry Manufacturing Co.,10,,D,Indianapolis,IN,39.76845,-86.156212
173,Stillman,Francis,Watson-Stillman Co.,6,200,H,New York,NY,40.713054,-74.007228
175,,,,2,,,Bridgeport,CT,41.179195,-73.189476
176,McKinery,J,,3,,M,San Francisco,CA,37.78008,-122.420168
177,Cowles,William,"""Long Arm"" System Co.",8,130,Barnum,Cleveland,OH,41.505546,-81.6915
179,Carson,William,,6,,M,Baltimore,MD,39.290443,-76.612333
180,Tulloch,Don,,2,,,Worcester,MA,42.262073,-71.802278
181,Gillespie,Thomas,Lockhart Iron and Steel Co.,3,,J,Pittsburgh,PA,40.442169,-79.994945
183,Merz,Eugene,Heller & Merz; Ultramarine Company,3,20000,,Newark,NJ,40.731507,-74.174388
184,Elliott,Percival,,2,,W,Boston,MA,42.358894,-71.056742
