4496	4973	1
2023	2055	1
4496	4975	1
1817	3743	1
1645	2836	2
4496	4979	1
3136	3323	1
1015	2011	1
611	2226	1
484	3822	1
3012	4557	1
2276	4645	1
162	4455	1
495	565	1
1773	2124	1
1645	2780	1
2972	3978	1
4109	4702	1
4109	4705	1
375	2525	1
4514	4562	1
2098	2254	1
4682	4971	3
4682	4975	2
2456	4301	1
2456	4303	1
209	3323	1
2525	4216	2
4219	4301	1
2525	4219	1
3369	3398	1
939	4081	1
628	4971	1
628	4975	1
939	4088	2
162	3103	1
2746	3369	1
1950	4682	1
419	3323	1
1884	3276	1
723	2712	3
967	2346	1
953	2836	1
953	2835	1
1397	3851	1
723	4719	4
723	4718	1
502	2987	1
723	4717	2
162	2055	1
973	4216	1
484	2055	1
973	4219	1
2692	3151	1
357	4557	2
955	2477	1
1063	3618	1
398	4272	1
2357	3559	1
169	4055	1
2549	4350	1
597	3975	1
652	4603	2
2549	4354	1
2549	4356	1
419	4347	1
2538	3970	1
1150	3743	1
2538	3977	2
2538	3978	1
258	2844	1
1688	4777	1
924	4350	1
2904	4455	2
2215	2572	2
1094	1688	1
3975	4301	1
3975	4303	1
1817	4901	1
4236	4878	1
1596	1752	1
3147	4556	1
611	1226	1
1616	1959	1
134	419	1
2346	2963	1
2477	2746	1
2477	2745	1
484	4049	1
1768	3836	1
484	3012	1
3518	3829	1
2215	2399	1
1255	4836	1
1617	3829	1
2972	4347	1
2549	3978	1
3235	3508	2
2549	3970	1
2549	3975	1
2549	3977	1
1688	3200	1
2215	3624	1
953	3052	1
2661	4991	1
1406	3624	1
536	2268	1
3124	4019	1
536	2261	1
3743	4245	1
3743	4249	1
2963	4236	1
586	1029	1
2399	4400	1
2276	2659	1
502	881	1
484	2836	1
161	4049	1
2525	4979	1
3469	3633	2
2525	4975	3
2525	4973	3
2525	4971	3
739	1066	3
739	1063	1
2661	3508	1
4514	4971	2
4514	4973	2
2536	3842	1
3052	4017	2
4514	4979	1
161	4110	2
1959	4219	1
1959	4216	2
375	3356	1
2963	4496	1
1397	4190	1
637	2712	1
2399	2768	1
2904	3103	2
893	1743	1
22	1145	3
4809	4843	1
881	3560	1
211	897	2
1550	2963	1
1397	4443	1
1813	1817	1
1573	3200	1
1967	2661	1
3578	4562	1
611	4719	1
101	3822	1
2536	3338	1
509	4350	1
4190	4901	1
509	4356	1
509	4354	1
3560	4147	1
209	484	1
3151	4080	3
3151	4081	2
23	1616	1
3151	4088	2
169	4350	1
83	169	1
134	4496	1
274	3246	1
2276	4891	1
4576	4836	1
527	4514	2
351	4514	2
2477	3624	1
1514	1822	1
881	2215	1
843	4055	1
217	4515	1
217	4514	1
2538	2780	1
2987	4205	2
897	2836	2
258	3851	1
