key1	key2	measure	connection type
3246	502	0.000	residence
3246	939	3	socialclub
3276	4095	0.051	residence
3276	760	0.057	residence
3323	4758	0.004	residence
3338	3678	0.078	residence
3338	4836	0.098	residence
3338	603	0.085	residence
3338	967	0.067	residence
3358	999	0.024	residence
3398	4390	3	socialclub
3398	4407	0.063	residence
3398	4836	3	socialclub
3398	4935	3	socialclub
3398	4971	3	socialclub
3398	723	3	socialclub
3469	3518	3	socialclub
3469	3618	0.089	residence
3469	3726	3	socialclub
3469	3977	3	socialclub
3469	4109	3	socialclub
3469	419	0.075	residence
3469	4205	3	socialclub
3469	4682	3	socialclub
3469	4705	3	socialclub
3469	4719	3	socialclub
3469	4878	3	socialclub
3469	652	3	socialclub
3469	739	5	socialclub
3469	897	3	socialclub
3469	939	3	socialclub
3469	949	3	socialclub
3469	973	3	socialclub
3508	865	0.035	residence
351	5007	0.097	residence
3518	4081	0.012	residence
3518	739	3	socialclub
3518	967	0.076	residence
3518	972	3	socialclub
3518	973	3	socialclub
3560	4718	0.081	residence
3560	4878	0.063	residence
357	443	0.092	residence
3578	4820	0.001	residence
3578	4821	0.001	residence
3678	4259	0.062	residence
3678	4836	0.035	residence
3678	603	0.015	residence
3678	637	0.059	residence
3704	4561	0.063	residence
3726	3727	4	socialclub
3726	4205	3	socialclub
3726	4262	3	socialclub
3726	4557	3	socialclub
3726	4682	3	socialclub
3726	4705	3	socialclub
3726	4719	4	socialclub
3726	4809	3	socialclub
3726	4878	4	socialclub
3726	687	3	socialclub
3726	723	4	socialclub
3726	739	4	socialclub
3726	893	3	socialclub
3726	897	0.095	residence
3726	939	3	socialclub
3726	972	3	socialclub
3726	973	3	socialclub
3727	4019	0.081	residence
3727	4682	3	socialclub
3727	4809	3	socialclub
3727	723	3	socialclub
3727	939	3	socialclub
3727	972	3	socialclub
3829	4049	0.000	residence
3829	4055	0.000	residence
3829	4814	0.000	residence
3829	4935	0.000	residence
3829	502	0.000	residence
3836	4017	3	socialclub
3836	4236	3	socialclub
3836	4259	3	socialclub
3836	4557	3	socialclub
3836	4562	3	socialclub
3836	4682	4	socialclub
3836	4971	3	socialclub
3836	723	4	socialclub
3836	917	3	socialclub
3836	939	3	socialclub
3836	972	3	socialclub
389	4400	0.085	residence
389	4937	0.079	residence
3963	4487	0.083	residence
3963	4534	0.009	residence
3970	4891	0.061	residence
3970	955	0.040	residence
3977	4205	3	socialclub
3977	4682	3	social_and_residence
3977	4705	3	socialclub
3977	652	3	socialclub
3977	939	3	socialclub
3977	972	0.017	residence
3977	973	3	social_and_residence
3978	4350	3	socialclub
3978	4515	0.032	residence
3978	4971	3	socialclub
3978	723	3	socialclub
3984	447	0.042	residence
4009	4727	0.077	residence
4017	4236	3	socialclub
4017	4259	3	socialclub
4017	4557	3	socialclub
4017	4562	3	socialclub
4017	4682	3	socialclub
4017	4971	3	socialclub
4017	723	3	socialclub
4017	917	3	socialclub
4017	939	3	socialclub
4017	972	3	socialclub
4049	4055	0.000	residence
4049	4814	0.000	residence
4049	4935	0.000	residence
4049	502	0.000	residence
4055	4814	0.000	residence
4055	4935	0.000	residence
4055	502	0.000	residence
4080	4390	3	socialclub
4080	4455	3	socialclub
